2024-09-14 13:31:08,065 INFO    StreamThr :87868 [internal.py:wandb_internal():85] W&B internal server running at pid: 87868, started at: 2024-09-14 13:31:08.063609
2024-09-14 13:31:08,067 DEBUG   HandlerThread:87868 [handler.py:handle_request():158] handle_request: status
2024-09-14 13:31:08,151 INFO    WriterThread:87868 [datastore.py:open_for_write():87] open: /home/eleni/workspace/flowers/SAPIENS_jax/purejaxrl/wandb/run-20240914_133108-uekne4a7/run-uekne4a7.wandb
2024-09-14 13:31:08,152 DEBUG   SenderThread:87868 [sender.py:send():379] send: header
2024-09-14 13:31:08,165 DEBUG   SenderThread:87868 [sender.py:send():379] send: run
2024-09-14 13:31:08,627 INFO    SenderThread:87868 [dir_watcher.py:__init__():211] watching files in: /home/eleni/workspace/flowers/SAPIENS_jax/purejaxrl/wandb/run-20240914_133108-uekne4a7/files
2024-09-14 13:31:08,627 INFO    SenderThread:87868 [sender.py:_start_run_threads():1188] run started: uekne4a7 with start time 1726320668.138222
2024-09-14 13:31:08,640 DEBUG   HandlerThread:87868 [handler.py:handle_request():158] handle_request: check_version
2024-09-14 13:31:08,640 DEBUG   SenderThread:87868 [sender.py:send_request():406] send_request: check_version
2024-09-14 13:31:08,750 DEBUG   HandlerThread:87868 [handler.py:handle_request():158] handle_request: run_start
2024-09-14 13:31:08,775 DEBUG   HandlerThread:87868 [system_info.py:__init__():26] System info init
2024-09-14 13:31:08,775 DEBUG   HandlerThread:87868 [system_info.py:__init__():41] System info init done
2024-09-14 13:31:08,775 INFO    HandlerThread:87868 [system_monitor.py:start():194] Starting system monitor
2024-09-14 13:31:08,775 INFO    SystemMonitor:87868 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-09-14 13:31:08,776 INFO    SystemMonitor:87868 [interfaces.py:start():188] Started cpu monitoring
2024-09-14 13:31:08,777 INFO    HandlerThread:87868 [system_monitor.py:probe():214] Collecting system info
2024-09-14 13:31:08,782 INFO    SystemMonitor:87868 [interfaces.py:start():188] Started disk monitoring
2024-09-14 13:31:08,783 INFO    SystemMonitor:87868 [interfaces.py:start():188] Started gpu monitoring
2024-09-14 13:31:08,785 INFO    SystemMonitor:87868 [interfaces.py:start():188] Started memory monitoring
2024-09-14 13:31:08,786 INFO    SystemMonitor:87868 [interfaces.py:start():188] Started network monitoring
2024-09-14 13:31:08,846 DEBUG   HandlerThread:87868 [system_info.py:probe():152] Probing system
2024-09-14 13:31:08,855 DEBUG   HandlerThread:87868 [system_info.py:_probe_git():137] Probing git
2024-09-14 13:31:08,882 DEBUG   HandlerThread:87868 [system_info.py:_probe_git():145] Probing git done
2024-09-14 13:31:08,883 DEBUG   HandlerThread:87868 [system_info.py:probe():200] Probing system done
